file,n_issues,unique_rules,rules_top5,sev_counts
data_raw/solhint/json/0x7f23d86ee20d869112572136221e173428dd740b.solhint.json,0,0,,
data_raw/solhint/json/0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9.solhint.json,96,10,use-natspec:50;gas-small-strings:13;gas-custom-errors:12;reason-string:10;no-inline-assembly:4,Warning:95;UNKNOWN_SEV:1
data_raw/solhint/json/0x4f30a9d41b80ecc5b94306ab4364951ae3170210.solhint.json,0,0,,
data_raw/solhint/json/0x7713dd9ca933848f6819f38b8352d9a15ea73f67.solhint.json,0,0,,
data_raw/solhint/json/0x07c87cfe096c417212eab4152d365f0f7dc6fce4.solhint.json,0,0,,
data_raw/solhint/json/0x189564397643d9e6173a002f1ba98da7d40a0fa6.solhint.json,0,0,,
data_raw/solhint/json/0x912ce59144191c1204e64559fe8253a0e49e6548.solhint.json,0,0,,
data_raw/solhint/json/0xfceb31a79f71ac9cbdcf853519c1b12d379edc46.solhint.json,0,0,,
data_raw/solhint/json/0xfd70de6b91282d8017aa4e741e9ae325cab992d8.solhint.json,0,0,,
data_raw/solhint/json/0xb68443ee3e828bad1526b3e0bdf2dfc6b1975ec4.solhint.json,96,10,use-natspec:50;gas-small-strings:13;gas-custom-errors:12;reason-string:10;no-inline-assembly:4,Warning:95;UNKNOWN_SEV:1
data_raw/solhint/json/0xdc035d45d973e3ec169d2276ddab16f1e407384f.solhint.json,0,0,,
data_raw/solhint/json/0x071dc669be57c1b3053f746db20cb3bf54383aea.solhint.json,0,0,,
data_raw/solhint/json/0xf403c135812408bfbe8713b5a23a04b3d48aae31.solhint.json,598,15,use-natspec:527;func-name-mixedcase:17;gas-strict-inequalities:13;gas-small-strings:11;reason-string:7,Warning:597;UNKNOWN_SEV:1
data_raw/solhint/json/0x33a34eab3ee892d40420507b820347b1ca2201c4.solhint.json,96,10,use-natspec:50;gas-small-strings:13;gas-custom-errors:12;reason-string:10;no-inline-assembly:4,Warning:95;UNKNOWN_SEV:1
data_raw/solhint/json/0x0d8a21f2ea15269b7470c347083ee1f85e6a723b.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0x37922c69b08babcceae735a31235c81f1d1e8e43.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xd9f5e9589016da862d2abce980a5a5b99a94f3e8.solhint.json,0,0,,
data_raw/solhint/json/0xc2edad668740f1aa35e4d8f227fb8e17dca888cd.solhint.json,277,12,use-natspec:203;gas-small-strings:27;reason-string:16;gas-strict-inequalities:10;explicit-types:8,Warning:276;UNKNOWN_SEV:1
data_raw/solhint/json/0x486af39519b4dc9a7fccd318217352830e8ad9b4.solhint.json,988,19,explicit-types:427;use-natspec:380;gas-indexed-events:63;visibility-modifier-order:48;reason-string:13,Warning:987;UNKNOWN_SEV:1
data_raw/solhint/json/0xba12222222228d8ba445958a75a0704d566bf2c8.solhint.json,0,0,,
data_raw/solhint/json/0x944d1727d0b656f497e74044ff589871c330334f.solhint.json,0,0,,
data_raw/solhint/json/0x784efeb622244d2348d4f2522f8860b96fbece89.solhint.json,0,0,,
data_raw/solhint/json/0x873339a8214657175d9b128ddd57a2f2c23256fa.solhint.json,0,0,,
data_raw/solhint/json/0x6c247b1f6182318877311737bac0844baa518f5e.solhint.json,0,0,,
data_raw/solhint/json/0x397ff1542f962076d0bfe58ea045ffa2d347aca0.solhint.json,351,16,use-natspec:192;explicit-types:92;quotes:22;gas-indexed-events:16;gas-strict-inequalities:6,Warning:328;Error:22;UNKNOWN_SEV:1
data_raw/solhint/json/0xfb0e378b3ed6d7f8b73230644d945e28fd7f7b03.solhint.json,0,0,,
data_raw/solhint/json/0xe55e3b62005a2035d48ac0c41a5a9c799f04892c.solhint.json,0,0,,
data_raw/solhint/json/0x72283a76a0ddbb63c713f911f8568440f0b77804.solhint.json,0,0,,
data_raw/solhint/json/0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8.solhint.json,0,0,,
data_raw/solhint/json/0x2a002054a06546bb5a264d57a81347e23af91d18.solhint.json,0,0,,
data_raw/solhint/json/0x888888888889758f76e7103c6cbf23abbf58f946.solhint.json,0,0,,
data_raw/solhint/json/0xfd36e2c2a6789db23113685031d7f16329158384.solhint.json,2,1,UNKNOWN_RULE:2,Error:1;UNKNOWN_SEV:1
data_raw/solhint/json/0xff970a61a04b1ca14834a43f5de4533ebddb5cc8.solhint.json,65,8,use-natspec:41;gas-small-strings:10;reason-string:7;gas-strict-inequalities:2;gas-indexed-events:2,Warning:64;UNKNOWN_SEV:1
data_raw/solhint/json/0x5d409e56d886231adaf00c8775665ad0f9897b56.solhint.json,0,0,,
data_raw/solhint/json/0x9c4ec768c28520b50860ea7a15bd7213a9ff58bf.solhint.json,0,0,,
data_raw/solhint/json/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2.solhint.json,261,10,use-natspec:172;explicit-types:65;gas-strict-inequalities:6;reason-string:5;state-visibility:5,Warning:260;UNKNOWN_SEV:1
data_raw/solhint/json/0x9e382e5f78b06631e4109b5d48151f2b3f326df0.solhint.json,0,0,,
