slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found,stratum
superfarm,SuperFarm,Services,Ethereum,Ethereum,24817.21624140804,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Ethereum
superfluid,Superfluid,Payments,Optimism,Optimism;Arbitrum;Base;Polygon;Ethereum;Celo;xDai;Avalanche;Scroll;Binance,11408950.046226157,Q4,1,1,0,0,0,,,0,exploited=1|audited=0|tvl=Q4|chain=Optimism
superform,Superform,Yield Aggregator,Ethereum,Ethereum;Base;Arbitrum;Optimism;Polygon;Binance;Blast;Avalanche;Linea;Fantom,88845817.88802762,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
superfund,Superfund,Onchain Capital Allocator,Base,Base,387320.8072792477,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Base
superhedge,SuperHedge,Yield,Ethereum,Ethereum,77.7400491109371,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
superhero-dex,Superhero DEX,Dexs,Aeternity,Aeternity,220.30775416838185,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Aeternity
superlauncher,SuperLauncher,Launchpad,zkSync Era,zkSync Era,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=zkSync Era
superlend,Superlend,Lending,Etherlink,Etherlink,9692626.796842735,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Etherlink
superloop,Superloop,Onchain Capital Allocator,Etherlink,Etherlink,3440496.776297295,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Etherlink
superman-swap,Superman Swap,Yield Aggregator,Binance,Binance,3019.0984166294916,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Binance
superp,Superp,Derivatives,Binance,Binance,200966.6220999321,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Binance
superposition,Superposition,Lending,Aptos,Aptos,586340.3862418168,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Aptos
superrare,SuperRare,NFT Marketplace,Ethereum,Ethereum,0.0,Q1,1,1,0,0,0,,,0,exploited=1|audited=0|tvl=Q1|chain=Ethereum
superreturn,SuperReturn,Onchain Capital Allocator,Arbitrum,Arbitrum;Plume Mainnet;Ethereum;Soneium,2203153.7380427755,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Arbitrum
superstate-uscc,Superstate USCC,Basis Trading,Ethereum,Ethereum;Solana;Plume Mainnet,378255785.3519477,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
superstate-ustb,Superstate USTB,RWA,Ethereum,Ethereum;Plume Mainnet;Solana,573821704.8179042,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
superswap-ink,SuperSwap Ink,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
superswap-v2,SuperSwap V2,Dexs,Optimism,Optimism,0.0086465166113085,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Optimism
superswap-v3,SuperSwap V3,Dexs,Optimism,Optimism,542.7387116357232,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Optimism
supersweth-vault,SuperSweth Vault,Farm,Ethereum,Ethereum,72.23410418161903,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
superx,SuperX,Interface,,,0.0,Q1,0,0,0,0,0,,,0,
supra-staking,Supra Staking,Staking Pool,Supra,Supra,13308199.31182533,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Supra
suprafi,SupraFi,Liquid Staking,Sonic,Sonic,63.79190076764608,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Sonic
supswap-v2,SupSwap V2,Dexs,Mode,Mode,892.2178720577193,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Mode
supswap-v3,SupSwap V3,Dexs,Mode,Mode,31189.38949595859,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Mode
surf-liquid,Surf Liquid,Yield,Base,Base,1257.2896046193853,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Base
surf-protocol,Surf Protocol,Derivatives,Base,Base;Merlin,5998.247679279707,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Base
surfswap-classic,Surfswap Classic,Dexs,Kava,Kava,226.1172492840961,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Kava
surfswap-stable-amm,Surfswap Stable AMM,Dexs,Kava,Kava,0.0,Q1,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q1|chain=Kava
surge,Surge,Lending,Arbitrum,Arbitrum,2990.510194569928,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Arbitrum
surge-trade,Surge Trade,Derivatives,Radix,Radix,127730.81487467908,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Radix
surgedefi,SurgeDefi,Dexs,XRPL EVM,XRPL EVM,6698.970913709762,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=XRPL EVM
sushi-aptos,Sushi Aptos,Dexs,Aptos,Aptos,348079.5040818447,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Aptos
sushi-bentobox,Sushi BentoBox,Yield,Arbitrum,Arbitrum;Polygon;Ethereum;xDai;Moonbeam;Avalanche;Moonriver;Celo;Optimism,2807093.549028815,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Arbitrum
sushi-furo,Sushi Furo,Payments,Ethereum,Ethereum;Arbitrum;Avalanche;Polygon;Binance;xDai;Optimism;Moonbeam;Harmony;Fantom;Moonriver,4068.106977643197,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Ethereum
sushi-kashi,Sushi Kashi,Lending,Ethereum,Ethereum;Polygon;Binance;Avalanche;Arbitrum,142338.75279725032,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Ethereum
sushi-trident,Sushi Trident,Dexs,Polygon,Polygon;Optimism;Metis;Bittorrent;Arbitrum;Binance;Avalanche;Kava,276183.0396718068,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Polygon
sushiswap,SushiSwap,Dexs,Ethereum,Ethereum;Arbitrum;Polygon;Base;Boba;Celo;xDai;Binance;Moonriver;Arbitrum Nova;Harmony;Avalanche;Fantom;Scroll;Fuse;Filecoin;Katana;RSK;Europa;OKExChain;Hemi;Linea;Optimism;CORE;Blast;Moonbeam;Palm;Polygon zkEVM;Bittorrent;Kava;ZetaChain;Sonic;Telos;Metis;Boba_Bnb;ThunderCore;HAQQ;Heco,106550821.16100976,Q4,1,1,0,0,0,,,0,exploited=1|audited=0|tvl=Q4|chain=Ethereum
sushiswap-agg,SushiSwap Agg,DEX Aggregator,,,0.0,Q1,0,0,0,0,0,,,0,
sushiswap-v3,SushiSwap V3,Dexs,Katana,Katana;Hemi;Base;Ethereum;Arbitrum;RSK;Filecoin;Optimism;Polygon;ThunderCore;Europa;xDai;Binance;Scroll;Avalanche;Linea;Arbitrum Nova;Sonic;CORE;Polygon zkEVM;Blast;Metis;ZetaChain;Fantom;Moonriver;Kava;Fuse;Bittorrent;Moonbeam,102433495.7660182,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Katana
suterusu,Suterusu,Services,Binance,Binance;Ethereum,189933.3653049162,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Binance
suzaku,Suzaku,Restaking,Avalanche,Avalanche,2630048.39669514,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Avalanche
swaap-earn,Swaap Earn,Yield,Arbitrum,Arbitrum;Ethereum,4951.920899654145,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Arbitrum
swaap-maker-v1,Swaap Maker V1,Dexs,Polygon,Polygon,125288.63859717236,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Polygon
swaap-maker-v2,Swaap Maker V2,Dexs,Ethereum,Ethereum;Base;Binance;Arbitrum;Polygon;Optimism;Mode;Linea;Scroll;Mantle,10661286.322880331,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Ethereum
swamp-finance,Swamp Finance,Yield,Binance,Binance,1580435.2819896522,Q4,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q4|chain=Binance
swanswap,SwanSwap,Dexs,Shape,Shape,52750.74611925097,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Shape
swap-country,Swap Country,Dexs,Harmony,Harmony,87338.46573138861,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Harmony
swap.coffee,swap.coffee,DEX Aggregator,TON,TON,250869.5966390983,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=TON
swapbased-amm,SwapBased AMM,Dexs,Base,Base,143406.22089452413,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Base
swapbased-concentrated-liquidity,SwapBased Concentrated Liquidity,Dexs,Base,Base,108423.15001758482,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Base
swapbased-perp,SwapBased Perp,Derivatives,Base,Base,17373.332877880257,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Base
swapblast,SwapBlast,Dexs,Blast,Blast,1596.402402717508,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Blast
swapblast-v3,SwapBlast V3,Dexs,Blast,Blast,1442.579492649632,Q2,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q2|chain=Blast
swapfish,SwapFish,Dexs,Arbitrum,Arbitrum;Binance,41266.43140069041,Q3,0,0,0,0,0,,,0,exploited=0|audited=0|tvl=Q3|chain=Arbitrum
