slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
ponytaswap,PonytaSwap,Dexs,Rangers,Rangers,0.0,Q1,0,0,0,0,0,,,0
superdapp,SuperDapp,Farm,Rollux,Rollux,0.0,Q1,0,0,0,0,0,,,0
rosy-stake,Rosy Stake,Farm,Sapphire,Sapphire,0.0,Q1,0,0,0,0,0,,,0
chimeradex-lend,Chimeradex Lend,Lending,Scroll,Scroll;Arbitrum,0.0,Q1,0,0,0,0,0,,,0
lendora-protocol,Lendora Protocol,Lending,Scroll,Scroll,0.0,Q1,0,0,0,0,0,,,0
zksynth,ZKSynth,Synthetics,Scroll,Scroll,0.0,Q1,0,0,0,0,0,,,0
scribeswap,Scribeswap,Dexs,Scroll,Scroll,0.0836719502235111,Q1,0,0,0,0,0,,,0
z-protocol-masterchef,Z Protocol Masterchef,Yield,Scroll,Scroll,0.0,Q1,0,0,0,0,0,,,0
stakeeasy,StakeEasy,Liquid Staking,Secret,Secret;Juno,0.0,Q1,0,0,0,0,0,,,0
filament-v1,Filament V1,Derivatives,Sei,Sei,0.0,Q1,0,0,0,0,0,,,0
filament-beta,Filament Beta,Derivatives,Sei,Sei,0.0,Q1,0,0,0,0,0,,,0
shibfi,ShibFi,Farm,Shibarium,Shibarium,0.0,Q1,0,0,0,0,0,,,0
bonedex,BoneDex,Dexs,Shibarium,Shibarium,0.0,Q1,0,0,0,0,0,,,0
sifchain,Sifchain,Dexs,Sifchain,Sifchain,0.0,Q1,0,0,0,0,0,,,0
hxro-network,HXRO Network,Derivatives,Solana,Solana,0.0,Q1,0,0,0,0,0,,,0
only1,Only1,NFT Marketplace,Solana,Solana,0.0,Q1,0,0,0,0,0,,,0
solanax,Solanax,Dexs,Solana,Solana,0.0,Q1,0,0,0,0,0,,,0
solana-miner,Solana Miner,Staking Pool,Solana,Solana,0.0,Q1,0,0,0,0,0,,,0
drachma-exchange,Drachma Exchange,Dexs,Solana,Solana,0.0,Q1,0,0,0,0,0,,,0
aurum,Aurum,Lending,Sonic,Sonic,0.0002032000911987,Q1,0,0,0,0,0,,,0
