term,coef,se_cluster_slug,stat,p,model
C(category_llama)[T.Treasury Manager],-0.002886539878118184,0.0001023898594647864,-28.191657779459245,7.400409530483164e-175,glm_binomial_cluster
C(category_llama)[T.Uncollateralized Lending],-0.235799427348002,8.573404258207738e-05,-2750.359370051397,0.0,glm_binomial_cluster
C(category_llama)[T.Video Infrastructure],0.18511298391394687,0.00014455418849043867,1280.5784864974073,0.0,glm_binomial_cluster
C(category_llama)[T.Volume Boosting],0.18511298392515435,0.0001445541884925014,1280.5784865566652,0.0,glm_binomial_cluster
C(category_llama)[T.Wallets],25.81126919990244,0.9440710735156336,27.340387735622123,1.4050385846028116e-164,glm_binomial_cluster
C(category_llama)[T.Yield],23.843682042725916,0.00013046806843303052,182754.92485707274,0.0,glm_binomial_cluster
C(category_llama)[T.Yield Aggregator],24.72945446948196,0.33854901604202015,73.04541823395104,0.0,glm_binomial_cluster
C(category_llama)[T.Yield Lottery],-0.1790188374878816,8.437523194897494e-05,-2121.698907994012,0.0,glm_binomial_cluster
prot_sl_high_any_rate,-80.80657606615961,0.00020427052430895413,-395586.0804662236,0.0,glm_binomial_cluster
audited_by_year_end,-25.163452808694366,0.8751392733421735,-28.753655075488343,8.152989692215054e-182,glm_binomial_cluster
log_tvl,0.038333782255877066,1.8351590866079334e-17,2088853360758623.0,0.0,glm_binomial_cluster
