protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug
Adamant Finance,ADDY,Yield,['Multi-Chain'],602442.7986298411,[],,,,['api'],0,0,,0,adamant finance,adamant-finance
Adena Finance,ADENA,Dexs,['Harmony'],112.73005521708082,[],,,,['api'],0,0,,0,adena finance,adena-finance
Adrastea LRT,-,Liquid Restaking,['Solana'],9259449.187631749,[],,,,['api'],0,0,,0,adrastea lrt,adrastea-lrt
Adrastea LST,-,Liquid Staking,['Solana'],10944369.481670167,[],,,,['api'],0,0,,0,adrastea lst,adrastea-lst
Adrastea Restaking Operator,-,Staking Pool,['Solana'],31920866.5641989,[],,,,['api'],0,0,,0,adrastea restaking operator,adrastea-restaking-operator
Adrastea Validator,-,Staking Pool,['Solana'],50490529.94100974,[],,,,['api'],0,0,,0,adrastea validator,adrastea-validator
Adrastea Yield,-,Yield,['Solana'],391277.7225165276,[],,,,['api'],0,0,,0,adrastea yield,adrastea-yield
Adrena Protocol,ADX,Derivatives,['Solana'],17667571.217834067,[],,,,['api'],0,0,,0,adrena protocol,adrena-protocol
Aegis,-,Basis Trading,['Multi-Chain'],34750484.02264912,[],,,,['api'],0,0,,0,aegis,aegis
Aelin,Aelin,Charity Fundraising,['Multi-Chain'],28486.88221378137,[],,,,['api'],0,0,,0,aelin,aelin
Aequinox,AEQ,Dexs,['Binance'],639228.6577662502,[],,,,['api'],0,0,,0,aequinox,aequinox
Aera V2,-,Onchain Capital Allocator,['Multi-Chain'],85609724.31716146,[],,,,['api'],0,0,,0,aera v2,aera-v2
Aera V3,-,Onchain Capital Allocator,['Multi-Chain'],30681477.80179012,[],,,,['api'],0,0,,0,aera v3,aera-v3
Aeria,-,Options Vault,['Base'],365.06267173288495,[],,,,['api'],0,0,,0,aeria,aeria
Aerie Lab,-,Dexs,['Ethereum'],0.0,[],,,,['api'],0,0,,0,aerie lab,aerie-lab
Aerodrome Slipstream,AERO,Dexs,['Base'],270007192.5431923,[],,,,['api'],0,0,,0,aerodrome slipstream,aerodrome-slipstream
Aerodrome V1,AERO,Dexs,['Base'],305794086.90816325,[],,,,['api'],0,0,,0,aerodrome v1,aerodrome-v1
Aethir,ATH,Chain,['nan'],,[],,,,['api'],0,0,,0,aethir,aethir
Aevo Options,AEVO,Options,['nan'],,[],,,,['api'],0,0,,0,aevo options,aevo-options
Aevo Perps,AEVO,Derivatives,['Multi-Chain'],34490211.329039276,[],,,,['api'],0,0,,0,aevo perps,aevo-perps
Affine DeFi Earn,-,Yield Aggregator,['Multi-Chain'],52782.38633390556,[],,,,['api'],0,0,,0,affine defi earn,affine-defi-earn
Affine Restaking,-,Liquid Restaking,['Multi-Chain'],314787.9828233899,[],,,,['api'],0,0,,0,affine restaking,affine-restaking
Affluent,-,Lending,['TON'],9945534.87016526,[],,,,['api'],0,0,,0,affluent,affluent
AfraSwap,AFRA,Dexs,['Binance'],645.1496091770617,[],,,,['api'],0,0,,0,afraswap,afraswap
Aftermath AMM,-,Dexs,['Sui'],20150646.20439473,[],,,,['api'],0,0,,0,aftermath amm,aftermath-amm
Aftermath Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,aftermath aggregator,aftermath-aggregator
Aftermath afSUI,-,Liquid Staking,['Sui'],25881348.16276704,[],,,,['api'],0,0,,0,aftermath afsui,aftermath-afsui
AgarthaDAO,CLAVIS,Reserve Currency,['Avalanche'],0.0,[],,,,['api'],0,0,,0,agarthadao,agarthadao
Agave,AGVE,Lending,['xDai'],162439.0316698974,[],,,,['api'],0,0,,0,agave,agave
AgentFi,-,AI Agents,['Blast'],185522.3049359235,[],,,,['api'],0,0,,0,agentfi,agentfi
Aggre,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,aggre,aggre
AggreLend,-,Yield Aggregator,['Solana'],383285.31029512186,[],,,,['api'],0,0,,0,aggrelend,aggrelend
Agile Finance,AGL,Lending,['Cronos'],0.0,[],,,,['api'],0,0,,0,agile finance,agile-finance
Agility LSD,AGI,Indexes,['Ethereum'],44078.40643123461,[],,,,['api'],0,0,,0,agility lsd,agility-lsd
Agni Finance,-,Dexs,['Mantle'],87095349.21587807,[],,,,['api'],0,0,,0,agni finance,agni-finance
Agora,AGORA,Lending,['Metis'],13924.574414073626,[],,,,['api'],0,0,,0,agora,agora
Agus,AGUS,Dexs,['Multi-Chain'],0.1034295326138016,[],,,,['api'],0,0,,0,agus,agus
Aimbot,AIMBOT,Telegram Bot,['nan'],,[],,,,['api'],0,0,,0,aimbot,aimbot
AirDAO Bridge,-,Bridge,['Multi-Chain'],126708.74145025556,[],,,,['api'],0,0,,0,airdao bridge,airdao-bridge
AirDAO Hera pool,-,Chain,['AirDAO'],1760.6942082007631,[],,,,['api'],0,0,,0,airdao hera pool,airdao-hera-pool
AirPuff,APUFF,Leveraged Farming,['Multi-Chain'],1169820.9712134704,[],,,,['api'],0,0,,0,airpuff,airpuff
AirSwap,AST,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0,airswap,airswap
Ajira Pay Finance V1,AJP,Payments,['Multi-Chain'],37.14086269427953,[],,,,['api'],0,0,,0,ajira pay finance v1,ajira-pay-finance-v1
Ajira Pay Finance V2,AJP,Payments,['Linea'],3878.66157096605,[],,,,['api'],0,0,,0,ajira pay finance v2,ajira-pay-finance-v2
Ajna V1,AJNA,Lending,['Ethereum'],758827.6652697024,[],,,,['api'],0,0,,0,ajna v1,ajna-v1
Ajna V2,AJNA,Lending,['Multi-Chain'],1043789.0612475454,[],,,,['api'],0,0,,0,ajna v2,ajna-v2
Akiba Finance,AKIBA,Algo-Stables,['Kava'],0.0,[],,,,['api'],0,0,,0,akiba finance,akiba-finance
AkitaSwap,-,Dexs,['Blast'],82061.80069268977,[],,,,['api'],0,0,,0,akitaswap,akitaswap
Akronswap,-,Dexs,['Multi-Chain'],3704.3823063165464,[],,,,['api'],0,0,,0,akronswap,akronswap
Akropolis,AKRO,Yield,['Ethereum'],0.0,[],,,,['api'],0,0,,0,akropolis,akropolis
Aktionariat,DAKS,RWA,['Multi-Chain'],9420279.251585588,[],,,,['api'],0,0,,0,aktionariat,aktionariat
Aladdin DAO,ALD,Yield Aggregator,['Ethereum'],48465.96797664958,[],,,,['api'],0,0,,0,aladdin dao,aladdin-dao
