slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
basin-dao,Basin DAO,BASIN,CDP,356.58182551844004,Base,0,1,1,0,3,0,3,3,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
basin-exchange,Basin Exchange,-,Dexs,9616287.547218047,Arbitrum;Ethereum,0,1,1,0,21,0,21,21,,2024-08-21 23:36:11+00:00,2024-08-21 23:36:11+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
beam,Beam,BEAM,Chain,,,0,1,1,0,8,0,8,8,,2023-07-31 11:35:50+00:00,2023-07-31 11:35:50+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
beefy,Beefy,BIFI,Yield Aggregator,211690634.5526877,Ethereum;Arbitrum;Base;Avalanche;Fraxtal;Binance;Optimism;Polygon;Fantom;Cronos;Plasma;Linea;Sonic;Metis;Monad;xDai;Berachain;Lisk;RSK;Canto;Moonbeam;Mantle;zkSync Era;Fuse;Moonriver;Aurora;Celo;Kava;Mode;Oasis;Scroll;Harmony;Sei;Hyperliquid L1;Heco;re.al;Manta;Polygon zkEVM;Saga,0,1,1,0,8,0,8,8,,2024-07-02 22:24:13+00:00,2024-07-02 22:24:13+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
behodler,Behodler,EYE,Dexs,2508.4687285904192,Ethereum,0,1,1,0,8,0,8,8,,2022-01-14 19:58:13+00:00,2022-01-14 19:58:13+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
benddao-ape-staking,BendDAO APE Staking,BEND,Yield,1427198.02392144,ApeChain;Ethereum,0,1,1,0,8,0,8,8,,2024-07-17 16:48:03+00:00,2024-07-17 16:48:03+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
biconomy.com,Biconomy.com,-,CEX,40357853.78797542,Ethereum;Polygon;Tron;Bitcoin,0,1,1,0,16,0,16,16,,2022-12-13 14:33:31+00:00,2022-12-13 14:33:31+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
bido-finance,Bido Finance,-,Liquid Staking,71525.67281963641,BEVM,0,1,1,0,4,0,4,4,,2025-07-07 18:10:22+00:00,2025-07-07 18:10:22+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
binance-staked-sol,Binance Staked SOL,-,Liquid Staking,1390257684.201115,Solana,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
bingx,BingX,-,CEX,691818999.2473148,Tron;Bitcoin;Binance;Ethereum;Solana;Ripple;TON;Arbitrum,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
