protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
illuminate,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-illuminate-judging,repo=2023-01-illuminate-judging,audit_events_sherlock.csv
cooler,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-cooler,repo=2023-01-cooler,audit_events_sherlock.csv
cooler,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-cooler-judging,repo=2023-01-cooler-judging,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-sentiment,repo=2023-01-sentiment,audit_events_sherlock.csv
sentiment,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-sentiment-judging,repo=2023-01-sentiment-judging,audit_events_sherlock.csv
optimism,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-optimism,repo=2023-01-optimism,audit_events_sherlock.csv
optimism,sherlock,Sherlock,,2023-01-15T00:00:00Z,https://github.com/sherlock-audit/2023-01-optimism-judging,repo=2023-01-optimism-judging,audit_events_sherlock.csv
openq,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-openq,repo=2023-02-openq,audit_events_sherlock.csv
openq,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-openq-judging,repo=2023-02-openq-judging,audit_events_sherlock.csv
carapace,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-carapace,repo=2023-02-carapace,audit_events_sherlock.csv
carapace,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-carapace-judging,repo=2023-02-carapace-judging,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-blueberry,repo=2023-02-blueberry,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-blueberry-judging,repo=2023-02-blueberry-judging,audit_events_sherlock.csv
fair-funding,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-fair-funding,repo=2023-02-fair-funding,audit_events_sherlock.csv
fair-funding,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-fair-funding-judging,repo=2023-02-fair-funding-judging,audit_events_sherlock.csv
union,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-union,repo=2023-02-union,audit_events_sherlock.csv
union,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-union-judging,repo=2023-02-union-judging,audit_events_sherlock.csv
taurus,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-taurus,repo=2023-03-taurus,audit_events_sherlock.csv
taurus,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-taurus-judging,repo=2023-03-taurus-judging,audit_events_sherlock.csv
hats,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-hats,repo=2023-02-hats,audit_events_sherlock.csv
hats,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-hats-judging,repo=2023-02-hats-judging,audit_events_sherlock.csv
telcoin,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-telcoin,repo=2023-02-telcoin,audit_events_sherlock.csv
telcoin,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-telcoin-judging,repo=2023-02-telcoin-judging,audit_events_sherlock.csv
olympus,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-olympus,repo=2023-02-olympus,audit_events_sherlock.csv
surge,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-surge,repo=2023-02-surge,audit_events_sherlock.csv
surge,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-surge-judging,repo=2023-02-surge-judging,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-notional,repo=2023-02-notional,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-notional-judging,repo=2023-02-notional-judging,audit_events_sherlock.csv
bond,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-bond,repo=2023-02-bond,audit_events_sherlock.csv
bond,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-bond-judging,repo=2023-02-bond-judging,audit_events_sherlock.csv
kairos,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-kairos,repo=2023-02-kairos,audit_events_sherlock.csv
kairos,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-kairos-judging,repo=2023-02-kairos-judging,audit_events_sherlock.csv
olympus,sherlock,Sherlock,,2023-02-15T00:00:00Z,https://github.com/sherlock-audit/2023-02-olympus-judging,repo=2023-02-olympus-judging,audit_events_sherlock.csv
y2k,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-Y2K,repo=2023-03-Y2K,audit_events_sherlock.csv
y2k,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-Y2K-judging,repo=2023-03-Y2K-judging,audit_events_sherlock.csv
sense,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-sense,repo=2023-03-sense,audit_events_sherlock.csv
sense,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-sense-judging,repo=2023-03-sense-judging,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-notional,repo=2023-03-notional,audit_events_sherlock.csv
notional,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-notional-judging,repo=2023-03-notional-judging,audit_events_sherlock.csv
olympus,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-olympus,repo=2023-03-olympus,audit_events_sherlock.csv
olympus,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-olympus-judging,repo=2023-03-olympus-judging,audit_events_sherlock.csv
gitcoin,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-Gitcoin,repo=2023-03-Gitcoin,audit_events_sherlock.csv
gitcoin,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-Gitcoin-judging,repo=2023-03-Gitcoin-judging,audit_events_sherlock.csv
teller,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-teller,repo=2023-03-teller,audit_events_sherlock.csv
teller,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-teller-judging,repo=2023-03-teller-judging,audit_events_sherlock.csv
optimism,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-optimism,repo=2023-03-optimism,audit_events_sherlock.csv
optimism,sherlock,Sherlock,,2023-03-15T00:00:00Z,https://github.com/sherlock-audit/2023-03-optimism-judging,repo=2023-03-optimism-judging,audit_events_sherlock.csv
splits,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-splits,repo=2023-04-splits,audit_events_sherlock.csv
splits,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-splits-judging,repo=2023-04-splits-judging,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-blueberry,repo=2023-04-blueberry,audit_events_sherlock.csv
blueberry,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-blueberry-judging,repo=2023-04-blueberry-judging,audit_events_sherlock.csv
jojo,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-jojo,repo=2023-04-jojo,audit_events_sherlock.csv
jojo,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-jojo-judging,repo=2023-04-jojo-judging,audit_events_sherlock.csv
footium,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-footium,repo=2023-04-footium,audit_events_sherlock.csv
footium,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-footium-judging,repo=2023-04-footium-judging,audit_events_sherlock.csv
hubble-exchange,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-hubble-exchange,repo=2023-04-hubble-exchange,audit_events_sherlock.csv
hubble-exchange,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-hubble-exchange-judging,repo=2023-04-hubble-exchange-judging,audit_events_sherlock.csv
unitasprotocol,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-unitasprotocol,repo=2023-04-unitasprotocol,audit_events_sherlock.csv
unitasprotocol,sherlock,Sherlock,,2023-04-15T00:00:00Z,https://github.com/sherlock-audit/2023-04-unitasprotocol-judging,repo=2023-04-unitasprotocol-judging,audit_events_sherlock.csv
