protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug,name,symbol_llama,category_llama,tvl,chains_llama
Affine Restaking,-,Liquid Restaking,['Multi-Chain'],314787.9828233899,[],,,,['api'],0,0,,0,affine restaking,affine-restaking,Affine Restaking,-,Liquid Restaking,166029.96858970064,Ethereum;Linea
Affluent,-,Lending,['TON'],9945534.87016526,[],,,,['api'],0,0,,0,affluent,affluent,Affluent,-,Lending,5496640.192149176,TON
AfraSwap,AFRA,Dexs,['Binance'],645.1496091770617,[],,,,['api'],0,0,,0,afraswap,afraswap,AfraSwap,AFRA,Dexs,579.5536573968168,Binance
Aftermath afSUI,-,Liquid Staking,['Sui'],25881348.16276704,[],,,,['api'],0,0,,0,aftermath afsui,aftermath-afsui,Aftermath afSUI,-,Liquid Staking,10302021.50059492,Sui
Aftermath Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,aftermath aggregator,aftermath-aggregator,Aftermath Aggregator,-,DEX Aggregator,,
Aftermath AMM,-,Dexs,['Sui'],20150646.20439473,[],,,,['api'],0,0,,0,aftermath amm,aftermath-amm,Aftermath AMM,-,Dexs,8938256.081532381,Sui
AgarthaDAO,CLAVIS,Reserve Currency,['Avalanche'],0.0,[],,,,['api'],0,0,,0,agarthadao,agarthadao,AgarthaDAO,CLAVIS,Reserve Currency,0.0,Avalanche
Agave,AGVE,Lending,['xDai'],162439.0316698974,[],,,,['api'],0,0,,0,agave,agave,Agave,AGVE,Lending,121668.4283265075,xDai
AGDEX,-,Derivatives,['Aptos'],579.472013227891,[],,,,['api'],0,0,,0,agdex,agdex,AGDEX,-,Derivatives,125.94556178377432,Aptos
AgentFi,-,AI Agents,['Blast'],185522.3049359235,[],,,,['api'],0,0,,0,agentfi,agentfi,AgentFi,-,AI Agents,179886.5567559167,Blast
Aggre,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,aggre,aggre,Aggre,-,DEX Aggregator,,
AggreLend,-,Yield Aggregator,['Solana'],383285.31029512186,[],,,,['api'],0,0,,0,aggrelend,aggrelend,AggreLend,-,Yield Aggregator,379738.83339514985,Solana
Agile Finance,AGL,Lending,['Cronos'],0.0,[],,,,['api'],0,0,,0,agile finance,agile-finance,Agile Finance,AGL,Lending,0.0,Cronos
Agility LSD,AGI,Indexes,['Ethereum'],44078.40643123461,[],,,,['api'],0,0,,0,agility lsd,agility-lsd,Agility LSD,AGI,Indexes,32118.624986963187,Ethereum
Agni Finance,-,Dexs,['Mantle'],87095349.21587807,[],,,,['api'],0,0,,0,agni finance,agni-finance,Agni Finance,-,Dexs,37574893.71335653,Mantle
Agora,AGORA,Lending,['Metis'],13924.574414073626,[],,,,['api'],0,0,,0,agora,agora,Agora,AGORA,Lending,7909.855089755016,Metis
AGS Finance,AGS,Dexs,['Astar'],1979.752438612908,[],,,,['api'],0,0,,0,ags finance,ags-finance,AGS Finance,AGS,Dexs,1471.2699730098404,Astar
Agus,AGUS,Dexs,['Multi-Chain'],0.1034295326138016,[],,,,['api'],0,0,,0,agus,agus,Agus,AGUS,Dexs,0.039547708994777,CORE;Binance
AIDApp,-,Launchpad,['CORE'],6.004762543575155,[],,,,['api'],0,0,,0,aidapp,aidapp,AIDApp,-,Launchpad,1.848485370863483,CORE
AILayer farm,-,Farm,['Multi-Chain'],115400525.48153016,[],,,,['api'],0,0,,0,ailayer farm,ailayer-farm,AILayer farm,-,Farm,91310532.9971855,Bitcoin;zkLink
Aimbot,AIMBOT,Telegram Bot,['nan'],,[],,,,['api'],0,0,,0,aimbot,aimbot,Aimbot,AIMBOT,Telegram Bot,,
AImstrong,-,Lending,['Multi-Chain'],2867.909746800312,[],,,,['api'],0,0,,0,aimstrong,aimstrong,AImstrong,-,Lending,393.44412835625894,Arbitrum;Binance;Base;ZetaChain
AINN Swap,-,Dexs,['AILayer'],91154.71674280651,[],,,,['api'],0,0,,0,ainn swap,ainn-swap,AINN Swap,-,Dexs,72907.80434189999,AILayer
AirDAO Bridge,-,Bridge,['Multi-Chain'],126708.74145025556,[],,,,['api'],0,0,,0,airdao bridge,airdao-bridge,AirDAO Bridge,-,Bridge,1439.2893257710873,Binance;Ethereum
AirDAO Hera pool,-,Chain,['AirDAO'],1760.6942082007631,[],,,,['api'],0,0,,0,airdao hera pool,airdao-hera-pool,AirDAO Hera pool,-,Chain,0.0,AirDAO
AirPuff,APUFF,Leveraged Farming,['Multi-Chain'],1169820.9712134704,[],,,,['api'],0,0,,0,airpuff,airpuff,AirPuff,APUFF,Leveraged Farming,870869.5736038125,Ethereum;Arbitrum;Mode;K2;zkLink;Mantle
AirSwap,AST,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0,airswap,airswap,AirSwap,AST,DEX Aggregator,0.0,
AITECH,AITECH,Services,['Binance'],0.0,[],,,,['api'],0,0,,0,aitech,aitech,AITECH,AITECH,Services,0.0,Binance
aixCB,AIXCB,Farm,['Base'],0.0,[],,,,['api'],0,0,,0,aixcb,aixcb,aixCB,AIXCB,Farm,0.0,Base
Ajira Pay Finance V1,AJP,Payments,['Multi-Chain'],37.14086269427953,[],,,,['api'],0,0,,0,ajira pay finance v1,ajira-pay-finance-v1,Ajira Pay Finance V1,AJP,Payments,36.63206240288253,Polygon;Kava
Ajira Pay Finance V2,AJP,Payments,['Linea'],3878.66157096605,[],,,,['api'],0,0,,0,ajira pay finance v2,ajira-pay-finance-v2,Ajira Pay Finance V2,AJP,Payments,3372.08499689714,Linea
Ajna V1,AJNA,Lending,['Ethereum'],758827.6652697024,[],,,,['api'],0,0,,0,ajna v1,ajna-v1,Ajna V1,AJNA,Lending,597926.3142073108,Ethereum
Ajna V2,AJNA,Lending,['Multi-Chain'],1043789.0612475454,[],,,,['api'],0,0,,0,ajna v2,ajna-v2,Ajna V2,AJNA,Lending,782284.276724617,Ethereum;Hemi;Base;Arbitrum;Rari;Optimism;Polygon;Avalanche;Filecoin;Binance;Blast;Mode;Linea
Akiba Finance,AKIBA,Algo-Stables,['Kava'],0.0,[],,,,['api'],0,0,,0,akiba finance,akiba-finance,Akiba Finance,AKIBA,Algo-Stables,0.0,Kava
AkitaSwap,-,Dexs,['Blast'],82061.80069268977,[],,,,['api'],0,0,,0,akitaswap,akitaswap,AkitaSwap,-,Dexs,62271.48259405616,Blast
AKKA,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,akka,akka,AKKA,-,DEX Aggregator,,
Akronswap,-,Dexs,['Multi-Chain'],3704.3823063165464,[],,,,['api'],0,0,,0,akronswap,akronswap,Akronswap,-,Dexs,3222.461696493044,Arbitrum;Ethereum;Base;Binance
Akropolis,AKRO,Yield,['Ethereum'],0.0,[],,,,['api'],0,0,,0,akropolis,akropolis,Akropolis,AKRO,Yield,0.0,Ethereum
Aktionariat,DAKS,RWA,['Multi-Chain'],9420279.251585588,[],,,,['api'],0,0,,0,aktionariat,aktionariat,Aktionariat,DAKS,RWA,9152691.052703176,Ethereum;Optimism;Polygon
Aladdin DAO,ALD,Yield Aggregator,['Ethereum'],48465.96797664958,[],,,,['api'],0,0,,0,aladdin dao,aladdin-dao,Aladdin DAO,ALD,Yield Aggregator,36310.048583285505,Ethereum
