protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile
think-staking,github_strict_search,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/system_architecture.md,kw=openzeppelin; path=audit; ext=md; repo=think-staking-audit; file=audit/system_architecture.md,scrape_github_strict_audit_reports.py
miner-launchpad-foundry,github_strict_search,OpenZeppelin,,,https://github.com/Heesho/miner-launchpad-foundry/blob/5efdcb2d4f3f6e862e7f4fd5acf7cefefb745ae4/audit/AUDIT_REPORT.md,kw=openzeppelin; path=audit; ext=md; repo=miner-launchpad-foundry; file=audit/AUDIT_REPORT.md,scrape_github_strict_audit_reports.py
athena-contracts,github_strict_search,OpenZeppelin,,,https://github.com/Athena-ins/athena-contracts/blob/afe2cb4aea9572aebbd2c8d3f00b8d76c2050d98/audit/slither/report.md,kw=openzeppelin; path=audit; ext=md; repo=athena-contracts; file=audit/slither/report.md,scrape_github_strict_audit_reports.py
gasbot,github_strict_search,OpenZeppelin,,,https://github.com/GasBot-xyz/gasbot_audit/blob/c4c4e4a6744715f268b28462bad796ec310b5753/audit/202401_GasbotV2_cholakov.md,kw=openzeppelin; path=audit; ext=md; repo=gasbot_audit; file=audit/202401_GasbotV2_cholakov.md,scrape_github_strict_audit_reports.py
ideation-market-w3i,github_strict_search,OpenZeppelin,,,https://github.com/web3ideation/ideation-market-w3i/blob/2155d29eb3bc0e70ddfefedf2cc32927c46a753c/audit/original4naly3erReport.md,kw=openzeppelin; path=audit; ext=md; repo=ideation-market-w3i; file=audit/original4naly3erReport.md,scrape_github_strict_audit_reports.py
think-staking,github_strict_search,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/roles.md,kw=openzeppelin; path=audit; ext=md; repo=think-staking-audit; file=audit/roles.md,scrape_github_strict_audit_reports.py
usdtg-usdcg,github_strict_search,OpenZeppelin,,,https://github.com/ta5jg/usdtg-usdcg/blob/2db56a907e3a4b1be3c6ed7b4be5e8c71b9a26a0/audit/AUDIT_REPORT.md,kw=openzeppelin; path=audit; ext=md; repo=usdtg-usdcg; file=audit/AUDIT_REPORT.md,scrape_github_strict_audit_reports.py
ideation-market-w3i,github_strict_search,OpenZeppelin,,,https://github.com/web3ideation/ideation-market-w3i/blob/2155d29eb3bc0e70ddfefedf2cc32927c46a753c/audit/4naly3er/report_23.07.25.md,kw=openzeppelin; path=audit; ext=md; repo=ideation-market-w3i; file=audit/4naly3er/report_23.07.25.md,scrape_github_strict_audit_reports.py
icrm,github_strict_search,OpenZeppelin,,,https://github.com/krogla/icrm_audit/blob/3d288078b032defa52d864f8b27c1ff1f3439950/audit/source_code_audit_ru.md,kw=openzeppelin; path=audit; ext=md; repo=icrm_audit; file=audit/source_code_audit_ru.md,scrape_github_strict_audit_reports.py
liquid-signal-governance,github_strict_search,OpenZeppelin,,,https://github.com/Heesho/liquid-signal-governance/blob/3eaab7d3a4db6597c92649b6de9456bc8a8a2823/audit/ClaudeAudit.md,kw=openzeppelin; path=audit; ext=md; repo=liquid-signal-governance; file=audit/ClaudeAudit.md,scrape_github_strict_audit_reports.py
buyback-contract,github_strict_search,OpenZeppelin,,,https://github.com/dhedge/buyback-contract/blob/79bbfa5b1468a4054ea48eb9a0184ba15c098336/audit/MTA%20Buyback%20report.md,kw=openzeppelin; path=audit; ext=md; repo=buyback-contract; file=audit/MTA Buyback report.md,scrape_github_strict_audit_reports.py
lendefi-markets-polygon,github_strict_search,OpenZeppelin,,,https://github.com/LendefiMarkets/lendefi-markets-polygon/blob/53d438ecd660818ac408b88fb763669eb4a8b0c1/audit/LendefiCore.md,kw=openzeppelin; path=audit; ext=md; repo=lendefi-markets-polygon; file=audit/LendefiCore.md,scrape_github_strict_audit_reports.py
think-staking,github_strict_search,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/audit_response.md,kw=openzeppelin; path=audit; ext=md; repo=think-staking-audit; file=audit/audit_response.md,scrape_github_strict_audit_reports.py
asd-v2,github_strict_search,OpenZeppelin,,,https://github.com/Plex-Engineer/ASD-V2/blob/d0e4a4452701cdd7547724c2bb08907ca413dae5/audit/report.md,kw=openzeppelin; path=audit; ext=md; repo=ASD-V2; file=audit/report.md,scrape_github_strict_audit_reports.py
liquid-signal-governance,github_strict_search,OpenZeppelin,,,https://github.com/Heesho/liquid-signal-governance/blob/3eaab7d3a4db6597c92649b6de9456bc8a8a2823/audit/CodexAudit.md,kw=openzeppelin; path=audit; ext=md; repo=liquid-signal-governance; file=audit/CodexAudit.md,scrape_github_strict_audit_reports.py
concrete-earn-v2-security,github_strict_search,OpenZeppelin,,,https://github.com/avaloki108/concrete-earn-v2-security-audit/blob/d13efe808829607e254d03dce0919f269fb18d96/audit/FINDINGS.md,kw=openzeppelin; path=audit; ext=md; repo=concrete-earn-v2-security-audit; file=audit/FINDINGS.md,scrape_github_strict_audit_reports.py
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/ethdev.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/ethdev.md,scrape_github_strict_audit_reports.py
qenex-defi,github_strict_search,OpenZeppelin,,,https://github.com/abdulrahman305/qenex-defi/blob/aab9ad71d2b5afdf9b4197cfd45a3e2dc08a2b4e/audit/reentrancy_analysis.md,kw=openzeppelin; path=audit; ext=md; repo=qenex-defi; file=audit/reentrancy_analysis.md,scrape_github_strict_audit_reports.py
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/rahul.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/rahul.md,scrape_github_strict_audit_reports.py
arc_ecosystem,github_strict_search,OpenZeppelin,,,https://github.com/Artifact-Virtual/arc_ecosystem/blob/00a1fe15192656d3372833125cd6bf63d14cf937/audit/reports/audit-290825.md,kw=openzeppelin; path=audit; ext=md; repo=arc_ecosystem; file=audit/reports/audit-290825.md,scrape_github_strict_audit_reports.py
aion.erc.contract,github_strict_search,OpenZeppelin,,,https://github.com/gonuco/aion.erc.contract/blob/69ed73c72eb9acafd74575061861fc0215d49832/audit/README.md,kw=openzeppelin; path=audit; ext=md; repo=aion.erc.contract; file=audit/README.md,scrape_github_strict_audit_reports.py
esusu-contracts,github_strict_search,OpenZeppelin,,,https://github.com/emiridbest/esusu-contracts/blob/62de99a72dd4b3405d157d719fec5442080f9080/audit/audit%20report.md,kw=openzeppelin; path=audit; ext=md; repo=esusu-contracts; file=audit/audit report.md,scrape_github_strict_audit_reports.py
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/hans.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/hans.md,scrape_github_strict_audit_reports.py
auditguide,github_strict_search,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/jeffrey.md,kw=openzeppelin; path=audit; ext=md; repo=AuditGuide; file=Audit/ref/jeffrey.md,scrape_github_strict_audit_reports.py
l1bossbridge,github_strict_search,OpenZeppelin,,,https://github.com/AlbertoGuirado/L1BossBridge/blob/3590f7f3b739c5a6008f9c19f5aed46ae89de9a4/audit/reportByAderyn.md,kw=openzeppelin; path=audit; ext=md; repo=L1BossBridge; file=audit/reportByAderyn.md,scrape_github_strict_audit_reports.py
