protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes
foundation,code4rena,Code4rena,,2022-02-18T18:07:13Z,https://github.com/code-423n4/2022-02-foundation-findings,repo=2022-02-foundation-findings
foundation,code4rena,Code4rena,,2022-02-18T18:11:18Z,https://github.com/code-423n4/2022-02-foundation,repo=2022-02-foundation
jpyc,code4rena,Code4rena,,2022-02-21T05:06:12Z,https://github.com/code-423n4/2022-02-jpyc,repo=2022-02-jpyc
jpyc,code4rena,Code4rena,,2022-02-21T05:06:52Z,https://github.com/code-423n4/2022-02-jpyc-findings,repo=2022-02-jpyc-findings
timeswap,code4rena,Code4rena,,2022-03-01T17:29:31Z,https://github.com/code-423n4/2022-03-timeswap,repo=2022-03-timeswap
timeswap,code4rena,Code4rena,,2022-03-01T17:29:51Z,https://github.com/code-423n4/2022-03-timeswap-findings,repo=2022-03-timeswap-findings
biconomy,code4rena,Code4rena,,2022-03-04T20:43:10Z,https://github.com/code-423n4/2022-03-biconomy-findings,repo=2022-03-biconomy-findings
biconomy,code4rena,Code4rena,,2022-03-04T20:43:17Z,https://github.com/code-423n4/2022-03-biconomy,repo=2022-03-biconomy
maple,code4rena,Code4rena,,2022-03-04T20:47:11Z,https://github.com/code-423n4/2022-03-maple-findings,repo=2022-03-maple-findings
maple,code4rena,Code4rena,,2022-03-04T20:47:19Z,https://github.com/code-423n4/2022-03-maple,repo=2022-03-maple
rolla,code4rena,Code4rena,,2022-03-04T21:07:25Z,https://github.com/code-423n4/2022-03-rolla-findings,repo=2022-03-rolla-findings
rolla,code4rena,Code4rena,,2022-03-04T21:07:38Z,https://github.com/code-423n4/2022-03-rolla,repo=2022-03-rolla
vetoken,code4rena,Code4rena,,2022-03-08T02:16:45Z,https://github.com/code-423n4/2022-05-vetoken-findings,repo=2022-05-vetoken-findings
vetoken,code4rena,Code4rena,,2022-03-08T02:18:17Z,https://github.com/code-423n4/2022-05-vetoken,repo=2022-05-vetoken
prepo,code4rena,Code4rena,,2022-03-08T13:10:14Z,https://github.com/code-423n4/2022-03-prepo-findings,repo=2022-03-prepo-findings
prepo,code4rena,Code4rena,,2022-03-08T13:10:21Z,https://github.com/code-423n4/2022-03-prepo,repo=2022-03-prepo
sublime,code4rena,Code4rena,,2022-03-10T21:17:28Z,https://github.com/code-423n4/2022-03-sublime,repo=2022-03-sublime
sublime,code4rena,Code4rena,,2022-03-10T21:17:37Z,https://github.com/code-423n4/2022-03-sublime-findings,repo=2022-03-sublime-findings
joyn,code4rena,Code4rena,,2022-03-16T18:19:13Z,https://github.com/code-423n4/2022-03-joyn-findings,repo=2022-03-joyn-findings
joyn,code4rena,Code4rena,,2022-03-16T18:29:31Z,https://github.com/code-423n4/2022-03-joyn,repo=2022-03-joyn
volt,code4rena,Code4rena,,2022-03-16T18:52:25Z,https://github.com/code-423n4/2022-03-volt-findings,repo=2022-03-volt-findings
volt,code4rena,Code4rena,,2022-03-16T18:52:57Z,https://github.com/code-423n4/2022-03-volt,repo=2022-03-volt
lifinance,code4rena,Code4rena,,2022-03-22T18:39:52Z,https://github.com/code-423n4/2022-03-lifinance,repo=2022-03-lifinance
lifinance,code4rena,Code4rena,,2022-03-22T19:11:15Z,https://github.com/code-423n4/2022-03-lifinance-findings,repo=2022-03-lifinance-findings
paladin,code4rena,Code4rena,,2022-03-24T18:55:36Z,https://github.com/code-423n4/2022-03-paladin,repo=2022-03-paladin
paladin,code4rena,Code4rena,,2022-03-24T18:55:43Z,https://github.com/code-423n4/2022-03-paladin-findings,repo=2022-03-paladin-findings
jpegd,code4rena,Code4rena,,2022-03-24T23:57:48Z,https://github.com/code-423n4/2022-04-jpegd,repo=2022-04-jpegd
jpegd,code4rena,Code4rena,,2022-03-25T00:01:29Z,https://github.com/code-423n4/2022-04-jpegd-findings,repo=2022-04-jpegd-findings
backed,code4rena,Code4rena,,2022-03-31T10:03:18Z,https://github.com/code-423n4/2022-04-backed,repo=2022-04-backed
backed,code4rena,Code4rena,,2022-03-31T10:40:44Z,https://github.com/code-423n4/2022-04-backed-findings,repo=2022-04-backed-findings
dualityfocus,code4rena,Code4rena,,2022-04-01T19:25:39Z,https://github.com/code-423n4/2022-04-dualityfocus-findings,repo=2022-04-dualityfocus-findings
axelar,code4rena,Code4rena,,2022-04-01T19:26:39Z,https://github.com/code-423n4/2022-04-axelar-findings,repo=2022-04-axelar-findings
axelar,code4rena,Code4rena,,2022-04-01T19:43:39Z,https://github.com/code-423n4/2022-04-axelar,repo=2022-04-axelar
dualityfocus,code4rena,Code4rena,,2022-04-01T19:44:00Z,https://github.com/code-423n4/2022-04-dualityfocus,repo=2022-04-dualityfocus
badger-citadel,code4rena,Code4rena,,2022-04-06T15:11:37Z,https://github.com/code-423n4/2022-04-badger-citadel-findings,repo=2022-04-badger-citadel-findings
badger-citadel,code4rena,Code4rena,,2022-04-06T15:43:54Z,https://github.com/code-423n4/2022-04-badger-citadel,repo=2022-04-badger-citadel
backd,code4rena,Code4rena,,2022-04-18T15:32:37Z,https://github.com/code-423n4/2022-04-backd,repo=2022-04-backd
backd,code4rena,Code4rena,,2022-04-18T15:35:07Z,https://github.com/code-423n4/2022-04-backd-findings,repo=2022-04-backd-findings
pooltogether,code4rena,Code4rena,,2022-04-21T19:42:25Z,https://github.com/code-423n4/2022-04-pooltogether,repo=2022-04-pooltogether
pooltogether,code4rena,Code4rena,,2022-04-21T19:51:17Z,https://github.com/code-423n4/2022-04-pooltogether-findings,repo=2022-04-pooltogether-findings
abranft,code4rena,Code4rena,,2022-04-22T15:15:28Z,https://github.com/code-423n4/2022-04-abranft,repo=2022-04-abranft
abranft,code4rena,Code4rena,,2022-04-22T15:22:22Z,https://github.com/code-423n4/2022-04-abranft-findings,repo=2022-04-abranft-findings
mimo,code4rena,Code4rena,,2022-04-22T19:33:28Z,https://github.com/code-423n4/2022-04-mimo-findings,repo=2022-04-mimo-findings
cudos,code4rena,Code4rena,,2022-04-22T19:38:40Z,https://github.com/code-423n4/2022-05-cudos,repo=2022-05-cudos
mimo,code4rena,Code4rena,,2022-04-22T19:38:43Z,https://github.com/code-423n4/2022-04-mimo,repo=2022-04-mimo
cudos,code4rena,Code4rena,,2022-04-22T19:38:51Z,https://github.com/code-423n4/2022-05-cudos-findings,repo=2022-05-cudos-findings
