protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
foundry-template-test,audit_report_firm,OpenZeppelin,,2025-06-30T00:00:00Z,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011231.md,"repo=jaxxjj/foundry-template-test; path=audit/slither_analysis_20250620_011231.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,foundry template test,,
foundry-template-test,audit_report_firm,OpenZeppelin,,2025-06-30T00:00:00Z,https://github.com/jaxxjj/foundry-template-test/blob/c2680939eba66708cdeea014d7d81f6c1f95e490/audit/slither_analysis_20250620_011316.md,"repo=jaxxjj/foundry-template-test; path=audit/slither_analysis_20250620_011316.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,foundry template test,,
lendefi-markets-polygon,audit_report_firm,OpenZeppelin,,,https://github.com/LendefiMarkets/lendefi-markets-polygon/blob/53d438ecd660818ac408b88fb763669eb4a8b0c1/audit/LendefiMarketVault.md,"repo=LendefiMarkets/lendefi-markets-polygon; path=audit/LendefiMarketVault.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,lendefi markets polygon,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/beirao.md,"repo=toplustar/AuditGuide; path=Audit/ref/beirao.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
cu-password-store,audit_report_firm,OpenZeppelin,,,https://github.com/nzes1/cu-password-store/blob/c0c42deea8d08f650a0e626aec282b53e61f5fbc/audit/Nzesi-Audit-Report.md,"repo=nzes1/cu-password-store; path=audit/Nzesi-Audit-Report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,cu password store,,
sparkn-contracts,audit_report_firm,OpenZeppelin,,,https://github.com/codefox-inc/sparkn-contracts/blob/80579beb5cc0ac746cfff3c73f87007cae9114e2/audit/auditReportByCodeHawks.md,"repo=codefox-inc/sparkn-contracts; path=audit/auditReportByCodeHawks.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,sparkn,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/pre-audit/minimal-onboarding-questions.md,"repo=cqlyj/VSkill; path=audit/v1/pre-audit/minimal-onboarding-questions.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
usdtg-usdcg,audit_report_firm,OpenZeppelin,,,https://github.com/ta5jg/usdtg-usdcg/blob/2db56a907e3a4b1be3c6ed7b4be5e8c71b9a26a0/audit/final.md,"repo=ta5jg/usdtg-usdcg; path=audit/final.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,usdtg usdcg,,
shutter-staking,audit_report_firm,OpenZeppelin,,,https://github.com/blockful/shutter-staking/blob/2b4f8d150cd1c18a29d4fcd13389a9fa8986377a/audit/aderyn-report.md,"repo=blockful/shutter-staking; path=audit/aderyn-report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,shutter staking,,
think-staking-audit,audit_report_firm,OpenZeppelin,,,https://github.com/Ai-Layer-Labs/think-staking-audit/blob/2edaca109409b8d3cecd1fa642913fb0d6c6069c/audit/system_architecture.md,"repo=Ai-Layer-Labs/think-staking-audit; path=audit/system_architecture.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,think staking audit,,
