protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
notional,code4rena,Code4rena,,2021-07-21T23:14:10Z,https://github.com/code-423n4/2021-08-notional-findings,repo=2021-08-notional-findings,audit_events_code4rena.csv,,,,,1,notional,notional-v2,notional-v2
pooltogether,code4rena,Code4rena,,2021-07-28T19:43:44Z,https://github.com/code-423n4/2021-07-pooltogether,repo=2021-07-pooltogether,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
pooltogether,code4rena,Code4rena,,2021-07-28T19:45:40Z,https://github.com/code-423n4/2021-07-pooltogether-findings,repo=2021-07-pooltogether-findings,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
yield,code4rena,Code4rena,,2021-08-09T13:48:01Z,https://github.com/code-423n4/2021-08-yield-findings,repo=2021-08-yield-findings,audit_events_code4rena.csv,,,,,1,yield,baseyield,baseyield
yield,code4rena,Code4rena,,2021-08-09T14:43:57Z,https://github.com/code-423n4/2021-08-yield,repo=2021-08-yield,audit_events_code4rena.csv,,,,,1,yield,baseyield,baseyield
realitycards,code4rena,Code4rena,,2021-08-13T13:22:40Z,https://github.com/code-423n4/2021-08-realitycards-findings,repo=2021-08-realitycards-findings,audit_events_code4rena.csv,,,,,1,realitycards,re,re
realitycards,code4rena,Code4rena,,2021-08-17T13:25:52Z,https://github.com/code-423n4/2021-08-realitycards,repo=2021-08-realitycards,audit_events_code4rena.csv,,,,,1,realitycards,re,re
gravitybridge,code4rena,Code4rena,,2021-08-19T00:28:20Z,https://github.com/code-423n4/2021-08-gravitybridge,repo=2021-08-gravitybridge,audit_events_code4rena.csv,,,,,1,gravitybridge,gravity-bridge,gravity-bridge
gravitybridge,code4rena,Code4rena,,2021-08-19T00:29:19Z,https://github.com/code-423n4/2021-08-gravitybridge-findings,repo=2021-08-gravitybridge-findings,audit_events_code4rena.csv,,,,,1,gravitybridge,gravity-bridge,gravity-bridge
sushimiso,code4rena,Code4rena,,2021-08-27T16:38:06Z,https://github.com/code-423n4/2021-09-sushimiso,repo=2021-09-sushimiso,audit_events_code4rena.csv,,,,,0,sushimiso,,
sushitrident,code4rena,Code4rena,,2021-08-27T16:39:48Z,https://github.com/code-423n4/2021-09-sushitrident,repo=2021-09-sushitrident,audit_events_code4rena.csv,,,,,1,sushitrident,sushi-trident,sushi-trident
sushimiso,code4rena,Code4rena,,2021-08-27T16:40:59Z,https://github.com/code-423n4/2021-09-sushimiso-findings,repo=2021-09-sushimiso-findings,audit_events_code4rena.csv,,,,,0,sushimiso,,
